Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.5994,Mon Jan 29 01:06:17 +0000 2018,0.769,0.0,0.231,RT @jenniferg07: Loving @littlebigtown’s performance tonight. @KarenFairchild’s voice though. Gets me every time. #GRAMMYs,74,@CBS
0.5994,Mon Jan 29 01:05:30 +0000 2018,0.606,0.0,0.394,Who's loving this @littlebigtown performance? #GRAMMYs https://t.co/CZJ6Ozqooz,75,@CBS
0.8652,Mon Jan 29 01:04:10 +0000 2018,0.633,0.0,0.367,It's official! We have our Best New Artist at The 60th Annual #GRAMMYs! Congratulations to @alessiacara. https://t.co/TIBhW6VbNY,76,@CBS
0.0,Mon Jan 29 01:02:39 +0000 2018,1.0,0.0,0.0,Things are getting personal between @JKCorden and Jay Z at The #GRAMMYs! https://t.co/ZpphdZGmov,77,@CBS
0.0,Mon Jan 29 00:54:37 +0000 2018,1.0,0.0,0.0,RT @weekndsrevival: sam smith’s voice is out of this world #GRAMMYs,78,@CBS
0.6239,Mon Jan 29 00:52:59 +0000 2018,0.774,0.0,0.226,👍👍 for @kendricklamar and @rihanna's win and the first #GRAMMY of the night! #GRAMMYs https://t.co/BIwIZ4TGwJ,79,@CBS
0.9134,Mon Jan 29 00:52:35 +0000 2018,0.461,0.0,0.539,Loyalty by @kendricklamar featuring @rihanna wins the #GRAMMY for Best Rap/Sung Performance! https://t.co/H9wTN3PSu9,80,@CBS
0.4199,Mon Jan 29 00:43:56 +0000 2018,0.682,0.0,0.318,Are you ready to rumble?! #GRAMMYs https://t.co/DNOCb4P3w1,81,@CBS
0.0,Mon Jan 29 00:39:59 +0000 2018,1.0,0.0,0.0,RT @laurengewirtz: Kendrick’s opening was incredible. #GRAMMYs,82,@CBS
0.0,Mon Jan 29 00:36:12 +0000 2018,1.0,0.0,0.0,Music's biggest stars arrive in style at The 60th Annual #GRAMMYs! See all of the red carpet fashion here:… https://t.co/kg2k27ULhO,83,@CBS
0.0,Mon Jan 29 00:28:06 +0000 2018,1.0,0.0,0.0,Music's Biggest Night® is here! The 60th Annual #GRAMMYs are live NOW at 7:30pm ET / 4:30pm PT. Stream the show wit… https://t.co/XgsYOa7p3e,84,@CBS
0.6514,Mon Jan 29 00:08:49 +0000 2018,0.815,0.0,0.185,The red carpet coverage continues on CBS! Stream GRAMMY® RED CARPET LIVE with a FREE trial of CBS All Access:… https://t.co/H14zjTUt1n,85,@CBS
0.0,Sun Jan 28 23:34:46 +0000 2018,1.0,0.0,0.0,GRAMMY® RED CARPET LIVE will begin once golf concludes. The 60th Annual #GRAMMYs start at 7:30pm ET / 4:30pm PT as… https://t.co/7BzOmjw0cX,86,@CBS
0.0,Sun Jan 28 23:11:21 +0000 2018,1.0,0.0,0.0,"The #GRAMMYs partnered with IBM using AI to explore 60 years of award-winning music, analyzing the sentiment and em… https://t.co/rSrbegGqJN",87,@CBS
0.3151,Sun Jan 28 22:40:29 +0000 2018,0.766,0.092,0.141,It's not as easy as @reba makes it look. The songstress drops some wisdom on the red carpet at The #GRAMMYs! https://t.co/oAtyL6M9VB,88,@CBS
0.0,Sun Jan 28 22:26:56 +0000 2018,1.0,0.0,0.0,We're in a New York state of mind on the red carpet with @MarenMorris at The 60th Annual #GRAMMYs! https://t.co/5yveCuUWFX,89,@CBS
0.784,Sun Jan 28 22:08:41 +0000 2018,0.615,0.0,0.385,.@ladygaga is giving us a million reasons to love her even more! #GRAMMYs https://t.co/BebMfaftOk,90,@CBS
0.0,Sun Jan 28 21:41:19 +0000 2018,1.0,0.0,0.0,The #GRAMMYs partnered with IBM using AI to reimagine the red carpet experience with a fashion analysis dashboard.… https://t.co/kkUpW3sZOe,91,@CBS
0.0,Sun Jan 28 21:14:24 +0000 2018,1.0,0.0,0.0,Things are heating up at The #GRAMMYs! How about a little sip of Ice-T? @FINALLEVEL and @cocosworld hit up the red… https://t.co/P2pPodrhtS,92,@CBS
0.0572,Sun Jan 28 20:54:17 +0000 2018,0.83,0.078,0.092,"You don't want to miss these all-star performances feat. @BrunoMars with @IamCardiB, @EltonOfficial with… https://t.co/VPz5G7Yzm7",93,@CBS
0.3477,Sun Jan 28 20:45:20 +0000 2018,0.852,0.0,0.148,"If you ask @LisaLoeb, being nominated for a #GRAMMY gives you a little extra something special. https://t.co/uOWVynjCPu",94,@CBS
0.0,Sun Jan 28 20:35:39 +0000 2018,1.0,0.0,0.0,"Being nominated for a GRAMMY, doesn’t change much for @DannyGokey! #GRAMMYs https://t.co/JNy0Q6sTpZ",95,@CBS
0.6696,Sun Jan 28 20:32:44 +0000 2018,0.645,0.0,0.355,We’re going to party like it’s @marvinsapp’s birthday at The #GRAMMYs! https://t.co/QhWz0hoe7u,96,@CBS
0.8622,Sun Jan 28 18:57:11 +0000 2018,0.652,0.0,0.348,"Cheers! The countdown is on to The 60th Annual #GRAMMYs, airing tonight on CBS. Get ready to celebrate with a signa… https://t.co/3yZ7mvBVNC",97,@CBS
0.0,Sun Jan 28 16:00:08 +0000 2018,1.0,0.0,0.0,GRAMMY nominee @LuisFonsi describes how his chart-topping hit with @JustinBieber and @Daddy_Yankee was meant to be!… https://t.co/GQ6GxXMPPE,98,@CBS
0.4003,Sun Jan 28 14:30:04 +0000 2018,0.856,0.0,0.144,GRAMMY-nominated rapper @Logic301 is excited to perform live during Music's Biggest Night®! Watch The 60th Annual… https://t.co/EwbLezXIro,99,@CBS
0.8402,Sun Jan 28 13:00:06 +0000 2018,0.654,0.0,0.346,"To enjoy past iconic GRAMMY R&amp;B performances from artists like @johnlegend, start your free trial and watch only on… https://t.co/jSTrKlzqOZ",100,@CBS
