Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.6249,Sun Jan 28 12:13:59 +0000 2018,0.683,0.089,0.229,"RT @BBCSport: That's why they call him the #GOAT.

Roger Federer has won his SIXTH #ausopen and his TWENTIETH Grand Slam title.

Absolutely…",42,@BBC
0.0,Sun Jan 28 12:00:05 +0000 2018,1.0,0.0,0.0,"❤️ David Attenborough &amp; @ProfBrianCox are Charles Darwin fanboys.

#PeopleOfScience | Watch on @BBCiPlayer https://t.co/t3tzCIZyvu",43,@BBC
0.0,Sun Jan 28 11:30:09 +0000 2018,1.0,0.0,0.0,"🐧 Think you know your stuff about penguins? 

See if you can peng-win in this @CBBC penguin quiz.
👉… https://t.co/90hzXs9eLw",44,@BBC
0.0,Sun Jan 28 11:00:11 +0000 2018,1.0,0.0,0.0,"🌋 Ring of Fire's volcanic and quake activity is normal, say scientists. 
👉 https://t.co/S4BzvHWown https://t.co/HcwtysDbJo",45,@BBC
0.0,Sun Jan 28 10:30:04 +0000 2018,1.0,0.0,0.0,"More than 11 billion items of plastic were found on a third of coral reefs surveyed in the Asia-Pacific region.

Th… https://t.co/iA1OOWNZ4k",46,@BBC
-0.2732,Sun Jan 28 10:00:02 +0000 2018,0.526,0.278,0.195,"❤️️ What helps you talk about depression?  

#BBCLikeMinds https://t.co/QEjc3nWqPr",47,@BBC
0.4767,Sun Jan 28 09:37:47 +0000 2018,0.866,0.0,0.134,RT @1Xtra: Now on @Diplo and Friends Tokyo’s finest @masayoshi_JP brings a bag of exclusives and forthcoming material from the legendary Tr…,48,@BBC
-0.5574,Sun Jan 28 09:37:18 +0000 2018,0.854,0.146,0.0,RT @BBCRadio4: WB Yeats died on this day in 1939. Here he reads his poem 'The Lake Isle of Innisfree' https://t.co/WCBuSBMFsO https://t.co/…,49,@BBC
0.4767,Sun Jan 28 09:30:02 +0000 2018,0.829,0.0,0.171,"🙌🎤 Rewatch the moment Michael blew the judges away with his Proud Mary performance.

#AllTogetherNow https://t.co/s5YqfGHPtu",50,@BBC
0.0,Sun Jan 28 09:00:06 +0000 2018,1.0,0.0,0.0,"🤔 Why do we see faces in unexpected places?

'Pareidolia' is the psychological phenomenon of spotting familiar patt… https://t.co/azGP7YWK28",51,@BBC
0.5106,Sun Jan 28 08:00:09 +0000 2018,0.864,0.0,0.136,"Shops, cafes and businesses will offer free water refill points in every major city and town in England by 2021 to… https://t.co/ScxSlRtZ6w",52,@BBC
0.824,Sun Jan 28 08:00:04 +0000 2018,0.677,0.0,0.323,RT @BBCOne: WOW. Rewatch the moment Michael blew the judges away with his Proud Mary on #AllTogetherNow. https://t.co/QaKOTmwQBQ,53,@BBC
0.0,Sun Jan 28 07:59:31 +0000 2018,1.0,0.0,0.0,"RT @bbcideas: The silent film pioneer, Charlie Chaplin, as remembered by his son 🎥 https://t.co/Gdcz1QK9K0 https://t.co/p8qE13TmcP",54,@BBC
0.25,Sat Jan 27 21:30:07 +0000 2018,0.9,0.0,0.1,"📖✨ Once upon a time, two-thirds of the world's literature was created by people who couldn't read or write... https://t.co/LbM3h6DxBG",55,@BBC
